Aamir,Iftakhar,Director,Bhopal glues & chemicals PVT ltd,https://static.swapcard.com/public/images/df03d50b1b464674b0b821daf44630c2.jpeg
Aamir,Siddiqui,Chief Executive,Excel Healthcare Laboratories (Pvt) Ltd,https://static.swapcard.com/public/images/dfbf9bfa7ab64a8f8ecd63c529819fcb.jpeg
Aamir,Rehman,Founder and CEO,Vyzr Hlth,
Aamir,Sohail,Event Project Manager,Al Khayyat Investments (L L C),
Aamir,Sami Khan,Sales,,
Aamir Javed,Mughal,Director Operations,Pakistan,https://static.swapcard.com/public/images/15a6648162374bf98ec3b158dbd15ec3.jpeg
Aamir Nazir,Khan,ELECTRICIAN,Conex Exhibitions,
Aamir Rashid,Khan,Clinical Tutor,Oman College of Health Sciences,https://static.swapcard.com/public/images/8615c329d57b42d99f85cd17d0259d5d.jpeg
Aamnah,Aamer,Product Manager,Home of Gulf Elite Est.,
Aanab,Mohammad,Laboratory Technologist,Unilabs,https://static.swapcard.com/public/images/1d755a2466e348fabb0f25592e708aa1.jpeg
Aanak,Goswami,DGM- Marketing,Accumax Lab Devices Pvt. Ltd,https://static.swapcard.com/public/images/31b715eb5ecb4de8968f4c8a4bead68e.jpeg
Aaqib,Ali,Content Creator,Socialeyez,
Aaren,Vedangi,Head Genomics & AI,Inductive Quotient Analytics India Pvt Ltd,https://static.swapcard.com/public/images/112ec74306064adebd8775d47a5bab95.jpeg
Aarene,Sundarajan Dass,Non-Physician,PureLab,
AARO,ZHAO,SALES MANAGER,,
Aaron,Trager,PHARMACY DIRECTOR,DOC.COM,https://static.swapcard.com/public/images/5efef2efec97470a94cdf5644bf09e57.jpeg
Aaron,ZHANG,Technical service engineer,"Nanjing Poclight Biotechnology Co., Ltd",https://static.swapcard.com/public/images/8660ed3adf26453e8be806873f0dcb38.jpeg
Aaron,Lieberman,VP Sales,Innovia Medical,
Aaron,Liu,Sales manager,,
Aaron,Grima,Lab Division Manager,E.J.Busuttil Ltd,
Aaron,Leibtag,"Head, Global Health System AI Strategy & Pursuits",HEALWELL AI,
Aaron,Aguilar,Lab Technologist,Kings College Hospital London Dubai,
Aaron,Wang,Global Sales Director,Shenzhen Xilaiheng Medical Electronics Co Ltd,
AARON JAMES,AMBIDA,Sales Director,MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,
Aarthi,Kannan,clinical pathology,Al tadawi medicql clinic,https://static.swapcard.com/public/images/53ecf0558fe647a582bee5e8955857ae.jpeg
Aarti,Vibhakar,Specialist Physician,Purelab,
Aaryan,Madani,sales executive,One Health,
AASHI,BHATIA,MARKETING HEAD,YASH ENTERPRISES,
Aashish,Kalra,Director,Bravis Innovations Private Limited,https://static.swapcard.com/public/images/5c3cab0618504bd5983e63c731c927aa.jpeg
Aashish,Khokrale,Sr Manager,Omnia Technologies,
Aashvini,Bancharam,Manager-Diagnostics and Life Sciences Division,Proximed Ltd,
Aasif,Ahsan Khan,FOUNDER,FABTECH TECHNOLOGIES LIMITED,
Aatish,Jain,Paetner,Casa Farmaceutica LLC,https://static.swapcard.com/public/images/3990af3b6e3e4066994afc79f544a94c.jpeg
AAYDA,ALDAHMANI,LABORATORY TECHNICIAN,MINISTY OF INTERIOR,
AAYUSH,GUPTA,HEAD OF DEPARTMENT,DR. DY PATIL MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTRE,https://static.swapcard.com/public/images/b33cf373dee3490fbcb88e9f7514a01a.jpg
Aayushi,Kapil,Senior Manager | Delegate Relations,RnF Technologies Pvt Ltd,https://static.swapcard.com/public/images/4f0e87db02af4e3db9f166abe9393c7d.jpeg
Aba,Anom,CEO,STELMED HEALTHLINE,https://static.swapcard.com/public/images/f4af9008e4d448e1b296e370e754da63.jpeg
Aba,Anom,CEO,STELMED HEALTHLINE,
Aba,Anom,Ceo,STELMED Healthline,
ABABOU,MOSTAFA,SALES MANAGER,REACTING,https://static.swapcard.com/public/images/ca63d2dd57af4cca9d584806993a7494.jpeg
Abaher,Al Tamimi,Researcher,UOS,
Abas,Almusawi,General Manager,Zahrat Alrawan,https://static.swapcard.com/public/images/5404ee66f11b44469becd64c5d05b80e.jpeg
Abas,Alqadhi,Managing Director,"VivaChek Biotech (Hangzhou) Co., Ltd.",https://static.swapcard.com/public/images/2adc5a9ee5794a5894f51e7ff8cf0692.jpeg
ABAS,MOHAMED,Sales Manager,Sunview Medical Equipment Trading,https://static.swapcard.com/public/images/929d1e1d77a8412bbc1e8858461f6d2b.jpeg
Abay,Segizbayev,deputy director,"""UMIT"" International Oncological Center of TomoTherapy",https://static.swapcard.com/public/images/97224215e81f4b29bce3c788f150fdae.jpeg
Abay,Baigenzhin,Chairman of the Board,National Scientific Medical Center JSC,https://static.swapcard.com/public/images/3f0d7ecd958147e7a385652681e6f622.jpeg
Abay,Mukhamediyev,Manager,Medlux,https://static.swapcard.com/public/images/43c9309059e34b64bf1084f84870aaf1.jpeg
Abayomi,Lawal,Manager,Fuja Medical Company,https://static.swapcard.com/public/images/2a3550b3127d49c7bf728d942d404cef.jpeg
Abba,Babagana,Chairman,United for freedom initiative (UFI),https://static.swapcard.com/public/images/48904d1f58fa44c89f7c26380084e09c.jpeg
Abbad Sayed,Abu Samad,Pharmacist,Dubai Health,https://static.swapcard.com/public/images/0921af8d5331409bbc9b26ea27d14a85.jpeg
Abbadi,Mohamed Amine,Doctor,International hospital of Fes,https://static.swapcard.com/public/images/80c23cb243a84806b1d9f2f2ab1d3806.jpeg
Abbas,Zaidi,CEO,ELAF / German University of Technology,https://static.swapcard.com/public/images/85d8bed9a33e411ab864eebfa17e9efd.jpeg
Abbas,Ahmed,Manager,Octash trading,
Abbas,Muhammad,Managing Director,The Avion,https://static.swapcard.com/public/images/2e47433776a443298b9a08bd1967f9a2.jpeg
Abbas,Khambaty,Partner,MAKTRONIC MEDICAL LLP,https://cdn-api.swapcard.com/public/images/fdcf9480d00d42549eed7f496d6dd904.jpg
Abbas,Freydoonian,Business Development Manager,Rezon Bio,https://static.swapcard.com/public/images/7d70c87c78a44796b047ef0928d32827.jpeg
Abbas,Deesawala,Director BD,Cooper International FZ LLC,https://static.swapcard.com/public/images/c3da58c4595a4062adcb3afb87356431.jpg
Abbas,Ahmed,VP of Solutions Delivery,Livemed Telehealth,
ABBAS,ABDELHADI,Sr. Service engineer,Medscience Medical Equipment Installation & Maintenance,https://static.swapcard.com/public/images/90d5c54797c54ecf824022bcafb19a83.jpeg
ABBAS,MOHAMMED,Laboratory Technologist,Almoosa diagnostic center,https://static.swapcard.com/public/images/9e97824168124a399302ad74c7148fc2.jpeg
Abbas,Abusham,CEO,Armada Medical Company,https://static.swapcard.com/public/images/605d041f286a4a55baa1139996341258.jpeg
Abbas,Mohammed,Managing Director,Samiro Pharmaceuticals Ltd,https://static.swapcard.com/public/images/f67a8789946f497ab6a77bcdcda4101b.jpeg
Abbas,Qomi,Chief Executive Officer,COLIFE,
Abbas,Ahmadivasmehjani,Co-founder and CEO,Omega LabEquip GmbH,
Abbas,Parvandeh,Chair man,Mr Foot,
Abbas,Ismail,Key account manager,Warba medical,
Abbas,Khadem,Product manager,Pooyan,
Abbas,Alabdali,COO,Zeyla,
Abbas,Saifee,Group General Manager - Purchase,Zulekha Hospital,
Abbas,Nasif,GM,Wadi,https://static.swapcard.com/public/images/74fa0b0bb4a643aa8a9230072364cbf4.jpeg
Abbas,Rajan,Director,Mercury 14 Ltd,https://static.swapcard.com/public/images/e12cd438cd704512b7a992e01926b9fa.jpeg
Abbas,Aissaoui,Sales Manager – West & Central Africa and Middle East,,
Abbas,Mohammed,Manager - Quality,Engineering Office,https://static.swapcard.com/public/images/3803ba8d87d442c09a4d603d460658dc.jpeg
Abbas,Mohammed,Manager - Quality,Engineering Office,https://static.swapcard.com/public/images/dcaa3109932d4851a85aeee80e25331c.jpeg
Abbas,Mohammed,Engineer,Minstry of health,https://static.swapcard.com/public/images/5569decdc5834e2fa63e774ed125ffc1.jpeg
Abbass,Hamzeh,Manager,Remed services,
Abbin,Jolly,echnology VR and Networking,,
Abby,Tong,International Sales Manager,,
ABC Test,Test,DS,Informa,
Abd Al Hameed,Kador,Head  manager,Medical technology,
Abd El Hameed,Hamdy,GM,Edit,https://static.swapcard.com/public/images/53d81dcbbbd64aa98cb10c8e6d1ec610.jpeg
Abd Elrahman,Osman,Owner,Elshahba drugs,
Abd Elsalam,Ghazi,Assistant Nurse,Global Medical Solutions,
ABDAL RAHMAN,ABDAL KRIM,Purchase manager,ZYENMED GLOBAL RESOURCES,https://static.swapcard.com/public/images/29dfdf2ec8c84f3b8372128be9d50bfb.jpeg
Abdalazeez,Alghraizat,translplamt,DUBAI HEALTH,https://static.swapcard.com/public/images/7ac26f6ee4bf41ee832b36f30a5ea3ba.jpeg
Abdalazim,Ibrahim,Geral manager,Emak advanced business,https://static.swapcard.com/public/images/db5c1b5240d04f049023714c53a6cc41.jpeg
Abdalaziz,Thamer Ali,Product Specialist Iraq,,
Abdalaziz,Alwohaibi,COO,Dallah Health,
Abdalelah,Saif Aldwla,Sales Excecutive,Sanabil Medical,
Abdalfattah,Osman,Managing Partner,Alyageen pharma,
Abdalkarim,Alhouseini,Biomedical Engineer,Health 4 All,https://static.swapcard.com/public/images/5503a59ce557439c9eb7b1cf7c7a2beb.jpeg
Abdalla,Khalid,Biomedical engineer,NA,https://static.swapcard.com/public/images/1671f8c569b4456a848b7f408b48f10a.jpeg
Abdalla,Ahmed,Sales manager,Terma medical,https://static.swapcard.com/public/images/0435b3b31d094d3f8df741a9e7f19c98.jpeg
Abdalla,Ahmed,Sales manager,Terma medical supply,https://static.swapcard.com/public/images/6f9c2563589b42f89a455484cba065ca.jpeg
Abdalla,Bakheit,Sales and service engineer,MDC - Care Medical Trading,
Abdalla,Aboelkheir,Urology Resident,Dubai Hospital,
Abdalla,AlGhaithi,Consultant Internal Medicine,Ministry of Defence,
Abdalla,Abdalla,Managing Director,3A-CRYOGENIC FZE,https://static.swapcard.com/public/images/9f3beae848d3420ab8128027b98888c1.jpeg
Abdalla,Ahmmed,Medical Laboratory Technologist,Fakeeh University Hospital,
Abdalla,AlZarooni,Specialist Doctor/Director of Public Health Centers Sharjah,EHS,https://static.swapcard.com/public/images/108220211103474882536d6d9127a6b9.jpeg
Abdalla,Taha,BDM,Atlas,
ABDALLA,KHAIRI,GP,Global Medical Solutions,
Abdalla,Elbergli,CEO,MENA Diagnostic,https://static.swapcard.com/public/images/e7402ba72eb942079f8a5aa8c54b82c0.jpeg
Abdalla Asem Abdalla,Abd Almajid,Technologist,PURELAB,
ABDALLAH,ALKURDI,Regional manager,Danaher-Radiometer,
Abdallah,Abdelatife,Strategic Marketing Manager,Vantage diagnostic,
Abdallah,Alzeer,Prosthetic and Orthotic Manager,SBAHC,
Abdallah,Laib,Service manager,Impomed,https://static.swapcard.com/public/images/d7287da5c0db4cb3b88fc2a1e87c7fc5.jpeg
Abdallah,Alyutman,Application Specialist,FNMS,https://static.swapcard.com/public/images/3f4ecae77b7f4818986bb2af5351512c.jpeg
ABDALLAH,Walid Al-Dmour,Regional Sales Manager,Agappe Diagnostics Switzerland Gmbh,https://static.swapcard.com/public/images/58a04c4e9610481695f59617b0d4c0ee.jpeg
Abdallah,AL Refai,Logistics & Warehouse,AGIOMIX,
ABDALLAH,HEGAZY,General Manager,Wadi El-Neel International,
Abdallah,Zamil,Radiographer,Rashid hospital,
Abdallah,Zeinati,Clinical Accounts Manager,Gulf Scientific Corporation,https://cdn-api.swapcard.com/public/images/f9e4cf60b6b04872aeea0afbedeaacbc.jpg
Abdallah,Bashir,Export,,
Abdallah,Massadeh,Orthopedic,Abdalla Massadeh Clinic,
Abdallah,Ragheb,General Manager Core tech.,,
Abdallah,Raweh,Cardiac Surgeon,Gimelly Clinic,
Abdallah,Elkhyat,Health Sales Manager,Tech Mahindra,https://static.swapcard.com/public/images/60ed8f3d005649929b87019c28af9935.jpeg
Abdallah,Zourob,CT Technologist,American Hospital Dubai,https://static.swapcard.com/public/images/af8067ca48f1458ca4cb091529ed4dbb.jpeg
Abdallah,Abu Sharar,Technical Solution Design Manager,Abbott Laboratories,https://static.swapcard.com/public/images/8172f04e944a4eaebebef03606f333e6.jpeg
Abdallah,Raweh Alqadasi,Radiologist,Gemelli,
Abdallah,BinOmair,Key Account Manager,BECKMAN COULTER,
Abdalle,Hussein,General manager,Biosom Diagnostics,https://static.swapcard.com/public/images/a46c491fc33f43fb923caf1398920fd6.jpeg
Abdallh,Osheik,Senior Medical Technologist,Mediclinic Hospitals LLC,
Abdalmoneim,Osman,Consultant,,
Abdalmoneim,Mohammad Osman,Marketing Adviser,Amazing Medical Equipment Group,https://static.swapcard.com/public/images/c85c95bc0aea40dc8079513acef03b2c.jpeg
Abdalrahman,Abdalrahman,Manager,Dhelaa Al-Zaitoon,
Abdalraouf,Alijla,Operation Manager,Assr Medical Technology Co,
Abdalrhman,Altaee,operations director,Alsidra Scientific Bureau,
Abdalsalam,Alhashani,CEO,Zamzam MedicaL,
Abdel,M Banat,Clinical Scientist,Latifa Hospital,https://static.swapcard.com/public/images/eeb57b2134a347b996dda5c4a22cbf08.jpeg
Abdel,Fattah,Manager,SITC,
Abdel Aziz,Tahon,Medical General Manager,Technoscientific,
Abdel Fattah,Ahmed,Sales Manager,GROUP ONE MED,https://static.swapcard.com/public/images/92a060f899fb47fd96a03bddcbf000df.jpeg
Abdel Moneim,Mawi,Business Operations Associate,Waha Medical Company,https://static.swapcard.com/public/images/29a8837ef60b4e7cb9d595941ae9ae0d.jpeg
Abdel Rahman,Al Shawakri,"ASSOCIATE DIRECTOR, MENA&MAGREB","Grifols International, S.A",
Abdel Rahman Ali Hasan,Aljallad,Radiographer,SSMC,
Abdel Sattar,Banat,Clinical Scientist,Dubai Health,
Abdeladim,AMRANI,Manager,BIOMEDICAL ALLIANCE,
ABDELAHI BEN,HOUD,SALES REPRESENTATIVE,SUD MEDICAL TECHNOLOGIES,
Abdelaleem,Elgendy,Professor,Alazhar university,https://static.swapcard.com/public/images/8a6e34e3d6ec490c8af61b2bedbb43d3.jpeg
Abdelali,Haoudi,Chief Global Strategic Partnerships Officer,UM6P,https://static.swapcard.com/public/images/3f8c9cd344894a9c8fa076c35af44fab.jpeg
Abdelali,Salihi,gérant,maroc-lab@live.fr,
Abdelameer,Al-Lamy,consultant radiologist,RRMM radiology AB,https://static.swapcard.com/public/images/c75149442dec4863ae7ff6b2fbac1f06.jpeg
Abdelazim,Ahmed,Business Manager Gulf & Levant,QuidelOrtho,
Abdelaziz,EL GHARBI,Ingénieur,turkoiztechnologie,https://static.swapcard.com/public/images/d97e37b32abb47768d4f4cdff75f98d6.jpeg
Abdelaziz,Aldabagh,Sales Manager,MTS - Medical technology solutions,https://static.swapcard.com/public/images/0b420e0d021d49d4afb7a7953cd3ff5b.jpeg
Abdelaziz,Alkabir,CEO,Mohe Biotech Maroc Sarl,https://static.swapcard.com/public/images/cd529a0169ad4555b1129781a4d4f885.jpeg
Abdelaziz,Ibrahim,Senior Radiographer,Dubai Health,
Abdelaziz Saeed,Al Mheiri,Chairman,Sharjah Health Authority,
Abdelbassat,Bouzidi,Sales,M.H.B General Trading,
Abdelfattah,Benaicha,CEO,Freelab diagnostics,https://static.swapcard.com/public/images/309dd005832a4f7bae40e1a5ca026d7d.jpeg
Abdelgadir,Elamin,Associate Professor,Gulf medical university,https://static.swapcard.com/public/images/913aa6ed6ffd4252844ddfddf0d170c7.jpeg
Abdelgadir,Eltom,Associate Professor,Gulf medical university,
ABDELGAWAD,REDA,Radiographer,Emirates Health Services,
ABDELGHANI,AMMANI,medical advisor,RINAMED,https://static.swapcard.com/public/images/046edf61fcd14c6eb18eb3db212cae60.jpeg
Abdelghani,Oumeziane,CEO,Go conso medical,https://static.swapcard.com/public/images/dff5c2609ecf46d382bc91d57d354335.jpeg
Abdelhadi,Daoud,Pharmacist doctor,Kuwait MOH,
ABDELHADI,BELEFDIL,CEO,LONGEVITEK,https://static.swapcard.com/public/images/6a11b70b2a734ec385a6e1bdc95267df.jpeg
ABDELHADY,Gibreel,General Manager,Facility Medical Company,https://static.swapcard.com/public/images/57d0a14aae954b9d9a095bd259fcc052.jpeg
ABDELHAKIM,MANIALI,CEO,CHALLENGE BIOMEDICAL,https://static.swapcard.com/public/images/c1f9ff2267c244beb2048ac9cd7764df.jpeg
Abdelhalim,Benmerad,CEO,Biopharm,https://static.swapcard.com/public/images/4ffd7ec1fef24132bec771cc9e971238.jpeg
Abdelhalim,Hassan,Export,New egypt,
Abdelhalim,Hassan,Export,New egypt co,
Abdelhalim Hamed,Teimeh,Senior Operations & Documentation Manager,Varieties Medical Supplies,https://static.swapcard.com/public/images/33cfe52f129f440fbdc92d5c728eaf31.jpeg
ABDELHAMID,KERROUM,PROF,Egychem For Lab Technology,
Abdelhamid,Attia,Sales Manager,Alhyatt smile trading Est,https://static.swapcard.com/public/images/2a742174fd0d4b00863592676fdaba3b.jpeg
Abdelhamid,Osman,Medical Lab,Pure lab,https://static.swapcard.com/public/images/2bbd055c9dc94230b2ef67e7946c8536.jpeg
Abdelhamid,ALAdwan,Head of Radiology Department,The Directorate of Royal Medical Services,
Abdelhamid,Gezouli Abdelhamed,med tech,PureLab-GCH,https://static.swapcard.com/public/images/8ab3ae0a87d64aac9808a662e39f9dea.jpeg
Abdelhamid,Mahmoud,Lab manager,BABIRUS for Medical and Laboratory Supplies,https://static.swapcard.com/public/images/805d29cd54454477a208871fd55d449b.jpeg
Abdelhamid,Haider,Product And Application Lead,,https://static.swapcard.com/public/images/3650e2ceb8c94dcebcbc6080149989ae.jpeg
Abdelkader,El Kanbi,sales director,fire thunder,
Abdelkader,Zoghlami,Manager,Mega Distribution,
Abdelkader,Benhamou,business Development Head,Biopharm,https://static.swapcard.com/public/images/597c4d6325084e0e9df228602c160ccd.jpeg
Abdelkareem,Fadlallah,Lab Technologist,UHS,
Abdelkarim,Shaqura,Direct manger,MLS,
Abdelkarim,Qandeel,Product specialist,Al zahrawi medical supplies,https://static.swapcard.com/public/images/981acec07e264bb4b09a872463ace88e.jpeg
Abdelkhalek,Abounnour,Automotive Parts Sales Executive,RMA AUTOMOTIVE MIDDLE EAST AND AFRICA FZE,
Abdelkhaliq,Mohammed,Laboratory Manager,Mediclinic Al Jowhara Hospital,
Abdelkrim,Benhacine,Manager,2a biomédical,
ABDELKRIM,AMROUCHE,Advisor – Data governance & AI in healthcare,NEXLINQ INSIGHTS CONSULTING FZCO,
Abdella,Sherif,CEO,Habeshacare Trading PLC,https://cdn-api.swapcard.com/public/images/200c2dc2b6cf4cb29ca24b63805a076c.png
Abdella,Feyssa,General Manager/ CEO,Ethio Tebib Hospital,
Abdellah,TEBANI,Head of Department,ROUEN UNIVERSITY HOSPITAL,https://static.swapcard.com/public/images/5e53ad0f572344aea54e37e6ce324f82.jpeg
Abdellatif,Bouhia,Director,OmniCap GmbH,https://cdn-api.swapcard.com/public/images/913ae5d8cc474bc9a0edcbea24d3d8af.png
Abdellatif,Hammad,Sales Representatives,City pharmacy,https://static.swapcard.com/public/images/d98d6b350bcf4e409374f846987fd2ae.jpeg
Abdellatif,Quandili,RN,Zayed Military Hospital,https://static.swapcard.com/public/images/10a466109d57474b8b171672a464483b.jpeg
Abdelmageed,Shalaby,Sales Manger,Smarteq Source for Scientific & Lab Equipment Trading LLC,
ABDELMAGID,Merghani,senior MRI tech,harley steet medical center,
Abdelmajeed,Alsamhouri,Commercial & Technical Manager,Qaulb Alhayat Est.,
Abdelmaksoud,Hussein,physiotherapy aide,Dubaihealth,https://static.swapcard.com/public/images/9bb53b3d68a545749dc7397d4c513c8f.jpeg
Abdelmalik,Salih,Biomedical engineer,Universal Trade Line,https://static.swapcard.com/public/images/4ccd88008379442497f266e4867b0fc1.jpeg
Abdelmalik,Sunjaq,Senior Radiographer & Rso,Al Dhannah Hospital,
Abdelmohmoud Mokhtar,Bashir,Medical Laboratory,Nrl,https://static.swapcard.com/public/images/90198dcc949d46dabec53c8012820360.jpeg
Abdelmoneim,Mohamed,Business Manager,Pan Continents Nutritional trading FZC,
Abdelmoneim,Elamein,Medical Lab Technologist,Ministry of Human Resources,
Abdelmoneim,Elsadek,CEO,Quality Medical Sciences Co Ltd,https://static.swapcard.com/public/images/04d58671b8ca42d5b0efacb76898886d.jpeg
Abdelmonem,Negm,BDM,BioDExSA PRO LLC,https://static.swapcard.com/public/images/4930e930c3d04f7f9741ad21c965c252.jpeg
Abdelmoniem,Mohamef,General manager,Eagles medical,
Abdelnaser,Abutayeh,Key Account Manager,Sama Masa,
Abdelnasir,Ibrahim,Senior Sales & Service Engineer,CoreMed Trading,
Abdelouahed,Kerrar,Vice President,Biopharm,
Abdelrahman,Elsheikh,Laboratory Manager,Royale Hayat Hospital,https://static.swapcard.com/public/images/7dd0cf726f6f46e1b25e58005893bdbc.jpeg
ABDELRAHMAN,SHAWISH,Application Specialist,Al Hayat Pharmaceuticals UAE,
ABDELRAHMAN,AWWAD,Laboratory Supervisor - Industry,Al Hayat Pharmaceuticals UAE,
Abdelrahman,Mohamed,Application services Manager MEA,Siemens Healthineers FZ LLC,https://static.swapcard.com/public/images/b97737defa364e868681dee79ba47c5e.jpeg
Abdelrahman,Khawajah,Manager,AL HAYAT PHARMACEUTICALS LLC SP,
Abdelrahman,Abdelmonem,Medical Laboratory Technologist,Mediclinic Airport Road Hospotal,
Abdelrahman,Mostafa,PARTNER,Alkayan eldhabi,https://static.swapcard.com/public/images/da445e6a650c4687b2aa4bdf0d333dff.jpeg
ABDELRAHMAN,MUSTAFA YOUSIF OSMAN,Engineer,Orthopedic Service Trading Est.,
Abdelrahman,Malhis,Senior Sales Executive,CoreMed Trading,
Abdelrahman,Abdellatif,RA Team Leader,MRG,https://static.swapcard.com/public/images/70af86b919584a61a52e71c326131d57.jpeg
AbdelRahman,Refaie,Business Development Lead,M42,https://static.swapcard.com/public/images/238cd72def0e47d88714ceae0b581844.jpeg
Abdelrahman,Ashraf,Biomedical engineer,Biomart,https://static.swapcard.com/public/images/3e117c25e8f54bda9cc2347a1e6d0805.jpg
Abdelrahman,Abdelkarim,Medical laboratory,Gulf medical university,https://static.swapcard.com/public/images/14d3970190d848fc8612471993fb6966.jpeg
Abdelrahman,Fakeeh,COO,Medical Masar Al Shefaa,
Abdelrahman,Saoud,CEO,Blue Tech co.,https://static.swapcard.com/public/images/a08cee0662944d76a8cafae3bef0bddd.jpeg
Abdelrahman,Rizk,Service Technician,Mpc,
Abdelrahman,Ashour,Division Manager,ENT,
Abdelrahman,Khaled,Sales Manager,ALEMAN for medical and scientific services,https://static.swapcard.com/public/images/299e701dea164d41aaa779400d82aaa1.jpeg
Abdelrahman,Elghonaimy,Director IVD Life Sciences,Siemens Healthineers,
Abdelrahman,Farag,Technical Sales,Zahrawi Group,
Abdelrahman,Refaie,Project Manager,3B united group,
ABDELRAHMAN,KADI,MANAGER,,
Abdelrahman,Elsingergy,Global Business Development Manager,Honessan Pharma,
Abdelrahman,Adil,CFO,Nawa Medical Services Co Ltd,
Abdelrahman,Elghonaimy,Director IVD & Life Sciences,One Health LLC,
AbdelRahman,Refaie,Business Development Lead,G42 / M42 Health,https://static.swapcard.com/public/images/44444eb4c07c4daca0a2004e46a2564e.jpeg
Abdelrazek,Saad,Doctor,GMS,https://static.swapcard.com/public/images/38956046de694403b61a8663b433b55a.jpeg
Abdelrhman,Sabra,Chemist Sales Specialist,Arab Science,https://static.swapcard.com/public/images/fcdb9b5b4fcd4462a2ac8b75c7b1b246.jpeg
